subject,description,searched,problem
ask about hosting recordings,"trying to create a site that hosts recordings, not sure how to do it",?,don't know how to start
Database doesn't exist,"Trying to do the reading assignments but when I make a new rails program and try to run rake db:migrate, it says database doesn't exist",google,no idea
Migration: undefined table error,"After creating Reader model, I checked that validations matched constraints and then ran 'rake db:migrate && rake db:rollback && rake db:migrate'. Getting error for undefined table for 'readers'","doubled checked my schema to verify table wasn't created, visited GUIDES ",I believe my drop_table did some irreparable damage and the following migration failed.
opening DB in sqlite,Cannot open music development db in sqlite,https://sqlite.org/docs.html,Im wondering if I even have a compatible version of SQLite installed.
sputnik undefined describe method,"attempting to brush up my Ruby skills, and am receiving ""test/max_number_test.rb:3:in `<main>': undefined method `describe' for main:Object (NoMethodError)"" when attempting to run test file.",sputnik instructions,Seems like an rspec issue?
CRUD operations,My object that I'm creating is not saving  and I have no idea how to find it.,"Asked Lydia, Lauren, and Helen","The object I'm making is not saving somehow, but everything else is :/"
github ,"github is telling me ""Permission denied"" when I am trying to upload to a remote repo.",github,github server issue
sputnik student ,"Student student name #first_name reports the students first name
     Failure/Error: Unable to find matching line from backtrace
     SystemStackError:
       stack level too deep
     # ./lib/student.rb:13",apollo,Im a bit unsure of the context of the challenge.
PG Fail,"could not connect to server: No such file or directory
Is the server running locally and accepting
connections on Unix domain socket ""/var/pgsql_socket/.s.PGSQL.5432""?",http://jaygoldman.com/2012/11/fixing-postgres-connection-errors-on-mountain-lion/,Cant find socket
unknown attribute,"Failures:

  1) Post should belong to a user
     Failure/Error: let(:post) {Post.new(body: 'hello', user: user)}
     ActiveRecord::UnknownAttributeError:
       unknown attribute: user
     # ./spec/models/post_spec.rb:5:in `block (2 levels) in <top (required)>'
     # ./spec/models/post_spec.rb:8:in `block (2 levels) in <top (required)>'",apollo rspec,I think that the test is unable to initialize the attribute because no user class exists?
"launcher network, activerecord syntax for instance method",trying to figure out how to use order and count methods together to return a list of posts ordered by comment count,"Rails docs, google, stackoverflow",don't know the syntax and can't find it anywhere
undefined method model name for nil class,Unsure on next step of tdd for this error,"I have searched stack-o-flow, we added ContactInquiry.new to new method and got same error","Not quite sure, something with the model maybe"
Capybara challlege: Faizaan the Wizard,"I keep trying to make this header ""about me"" be recognized but now i can't figure out what i'm doing wrong and my test are failing. Sam said to file a help request and then he'd help me.","Apollo readings, capybara cheat sheet",I'm typing something dumb
Module with spec helper,Not sure how to include module,Module and rspec,we are dumb dumbs
Using username instead of email for sign in,Trying to change Devise to allow username for sign in instead of email.,Googled: devise sign in username instead of email,Devise is a magical box
Join Tables and Testing Associations,Looking for help to properly set up join table and test associations on a sketch version of my breakable toy.,"Google, Apollo","I'm not sure why join table reviews is not properly saving.  Also, looking for help testing associations.  Might need a 20 minute session if possible to clarify random questions.

https://github.com/DMJr/breakable_toy_V0.1

"
rspec - test DB is not being cleared out between tests,"after getting a test to pass, running it a second time without making any changes raises an error because there are records still in the test database",.,it might have something to do with devise's email validation?
Adding multiple parameters to Devise user,"I added first_name, last_name and is_admin fields to the User's model with is_admin being defaulted to ""false"". This is_admin field is not exposed on the sign up form. 

I am adding these custom fields to ""application_controller.rb"" and I am unsure if I should do this:

def configure_permitted_parameters
    devise_parameter_sanitizer.for(:sign_up) << :first_name, :last_name, is_admin?
  end

or

def configure_permitted_parameters
  devise_parameter_sanitizer.for(:sign_up) { |u| u.permit({ is_admin: [] }, :email, :password, :password_confirmation, first_name, last_name) }
end

On Devise' readme page, it says the block is used if you plan to use ""accepts_nested_parameters_for"" and I don't know what that means or if I will be. ",Devise README,Not a problem. It's a question. 
Reading Über nested Json output effciently,"I am reading lots of data from a json output, and i need helping parsing the data quickly. ",json output + ruby,"I think i just need to get it down once, and i can figure it out form where. "
rake aborted! message in Terminal,"I have noticed that whenever I try to run ""rake db:create"" or ""rake db:migrate"", I get the error message ""rake aborted!"". I can use ""bundle exec"" before but I am not sure if it did anything. I don't really want to move on with the challenge until I understand the message's consequences.",The error message itself,It's probably a gem version issue.
Rake,"rake db:create
rake aborted!
You have already activated rake 10.1.1, but your Gemfile requires rake 10.1.0. Prepending `bundle exec` to your command may solve this.
/Users/michaelboerger/Rails/mass_health_data/mass-health/config/boot.rb:4:in `<top (required)>'
/Users/michaelboerger/Rails/mass_health_data/mass-health/config/application.rb:1:in `<top (required)>'
/Users/michaelboerger/Rails/mass_health_data/mass-health/Rakefile:4:in `<top (required)>'
(See full trace by running task with --trace)","I typed bundle exec first, it seems to have worked but I want to know what happened","rake db:create
rake aborted!
You have already activated rake 10.1.1, but your Gemfile requires rake 10.1.0. Prepending `bundle exec` to your command may solve this.
/Users/michaelboerger/Rails/mass_health_data/mass-health/config/boot.rb:4:in `<top (required)>'
/Users/michaelboerger/Rails/mass_health_data/mass-health/config/application.rb:1:in `<top (required)>'
/Users/michaelboerger/Rails/mass_health_data/mass-health/Rakefile:4:in `<top (required)>'
(See full trace by running task with --trace)"
Nil Included in math,"
undefined method `codigo' for nil:NilClass
     	Código <%= f.number_field :codigo, value: Product.last.codigo+1 %><br>
     ",N/A,First time you load the database it because a problem because there is no last product.
rake aborted,"➜  music git:(master) ✗ rake db:migrate
rake aborted!
You have already activated rake 10.1.1, but your Gemfile requires rake 10.1.0. Prepending `bundle exec` to your command may solve this.
/Users/LaunchAcademy/.gem/ruby/2.0.0/gems/bundler-1.5.3/lib/bundler/runtime.rb:34:in `block in setup'
/Users/LaunchAcademy/.gem/ruby/2.0.0/gems/bundler-1.5.3/lib/bundler/runtime.rb:19:in `setup'
/Users/LaunchAcademy/.gem/ruby/2.0.0/gems/bundler-1.5.3/lib/bundler.rb:119:in `setup'
/Users/LaunchAcademy/.gem/ruby/2.0.0/gems/bundler-1.5.3/lib/bundler/setup.rb:7:in `<top (required)>'
/Users/LaunchAcademy/Documents/BravoClasswork/music/config/boot.rb:4:in `<top (required)>'
/Users/LaunchAcademy/Documents/BravoClasswork/music/config/application.rb:1:in `<top (required)>'
/Users/LaunchAcademy/Documents/BravoClasswork/music/Rakefile:4:in `<top (required)>'
(See full trace by running task with --trace)",http://bundler.io/v1.5/man/bundle-exec.1.html,no idea
Reducing Number of SQL queries,"Product Load (0.4ms)  SELECT ""products"".* FROM ""products"" ORDER BY ""products"".""created_at"" asc LIMIT 20 OFFSET 20
  Design Load (0.2ms)  SELECT ""designs"".* FROM ""designs"" WHERE ""designs"".""id"" IN (1)
  Artist Load (0.2ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" IN (2)
  Location Load (0.2ms)  SELECT ""locations"".* FROM ""locations"" WHERE ""locations"".""id"" IN (1)
  ProductType Load (0.2ms)  SELECT ""product_types"".* FROM ""product_types"" WHERE ""product_types"".""id"" = ? ORDER BY ""product_types"".""id"" ASC LIMIT 1  [[""id"", 3]]
  Product Load (0.3ms)  SELECT ""products"".* FROM ""products""
  Artist Load (0.1ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  Artist Load (0.1ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 1]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 1]]
  Artist Load (0.1ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 4]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""artists"".* FROM ""artists"" WHERE ""artists"".""id"" = ? ORDER BY ""artists"".""id"" ASC LIMIT 1  [[""id"", 4]]",N/A,Funny linkage is creating many SQL queries that are slowing the page load.
